Source_IP,timingCV,uaEntropy,pathDiversity,headerCount,hasAcceptLanguage,methodVariety,requestSize,Label
10.0.0.134,0.0963,0.3341,0.1563,6,0,0.1480,0.1132,NetBIOS
10.0.0.135,0.1008,0.2159,0.0812,3,0,0.1069,0.0897,NTP
10.0.0.136,0.1798,0.3516,0.0935,4,1,0.0190,0.0903,SNMP
10.0.0.137,0.1970,0.1871,0.1701,5,0,0.1744,0.0893,SSDP
10.0.0.138,0.0582,0.1824,0.0563,5,0,0.1838,0.0788,UDP
10.0.0.139,0.1149,0.2864,0.0665,5,0,0.0339,0.0600,UDP-Lag
10.0.0.140,0.1882,0.1603,0.0744,5,0,0.0341,0.0747,WebDDoS
10.0.0.141,0.1944,0.2874,0.1318,4,0,0.1525,0.1193,DNS
10.0.0.142,0.0822,0.3297,0.1931,4,1,0.1883,0.1207,LDAP
10.0.0.143,0.1404,0.1089,0.0503,4,0,0.0352,0.0567,MSSQL
10.0.0.144,0.0558,0.2801,0.0677,3,0,0.1580,0.0981,NetBIOS
10.0.0.145,0.0687,0.2060,0.1828,3,1,0.0611,0.0994,NTP
10.0.0.146,0.0869,0.1920,0.1507,3,0,0.0083,0.0783,SNMP
10.0.0.147,0.0994,0.1102,0.1578,5,1,0.1164,0.0919,SSDP
10.0.0.148,0.1737,0.3164,0.0813,4,0,0.0164,0.0881,UDP
10.0.0.149,0.1735,0.3102,0.1927,5,0,0.1483,0.0654,UDP-Lag
10.0.0.150,0.1703,0.3059,0.1420,3,0,0.0593,0.0783,WebDDoS
10.0.0.151,0.1651,0.3138,0.0821,3,0,0.0222,0.1226,DNS
10.0.0.152,0.0821,0.2886,0.0996,4,0,0.0694,0.0864,LDAP
10.0.0.153,0.1140,0.2928,0.1996,3,1,0.1885,0.0721,MSSQL
10.0.0.154,0.1430,0.1210,0.1112,3,0,0.1430,0.0557,NetBIOS
10.0.0.155,0.1903,0.3649,0.1119,3,0,0.0561,0.0660,NTP
10.0.0.156,0.0587,0.2866,0.1790,5,0,0.1860,0.1108,SNMP
10.0.0.157,0.0764,0.3131,0.1954,4,1,0.0625,0.1345,SSDP
10.0.0.158,0.0910,0.2204,0.0921,4,0,0.0546,0.1422,UDP
10.0.0.159,0.1359,0.1272,0.1326,6,0,0.0335,0.0826,UDP-Lag
10.0.0.160,0.0771,0.1106,0.1067,3,0,0.0324,0.1228,WebDDoS
10.0.0.161,0.1615,0.3246,0.1725,6,1,0.0726,0.0614,DNS
10.0.0.162,0.1200,0.1788,0.0987,3,0,0.1533,0.1006,LDAP
10.0.0.163,0.1841,0.3737,0.1980,3,0,0.1834,0.0949,MSSQL
10.0.0.164,0.1314,0.1168,0.1779,4,0,0.1753,0.1461,NetBIOS
10.0.0.165,0.1261,0.1789,0.0964,5,0,0.0956,0.1096,NTP
10.0.0.166,0.1360,0.1099,0.0655,3,0,0.1302,0.1033,SNMP
10.0.0.167,0.1802,0.3903,0.0671,3,0,0.0471,0.0847,SSDP
10.0.0.168,0.1598,0.1188,0.1214,4,0,0.1822,0.0750,UDP
10.0.0.169,0.1425,0.3076,0.0654,4,0,0.1982,0.1299,UDP-Lag
10.0.0.170,0.1877,0.1248,0.0938,3,0,0.1760,0.1185,WebDDoS
10.0.0.171,0.1751,0.2982,0.0607,3,0,0.0392,0.0691,DNS
10.0.0.172,0.1976,0.2089,0.1279,4,1,0.1056,0.0573,LDAP
10.0.0.173,0.0565,0.2719,0.1148,6,0,0.1180,0.0714,MSSQL
10.0.0.174,0.0634,0.1088,0.1945,3,0,0.1509,0.1385,NetBIOS
10.0.0.175,0.0873,0.2669,0.1165,6,1,0.1790,0.1487,NTP
10.0.0.176,0.1183,0.2179,0.1647,6,0,0.0407,0.1052,SNMP
10.0.0.177,0.1411,0.1316,0.0517,6,1,0.1129,0.0624,SSDP
10.0.0.178,0.1760,0.2655,0.0563,6,1,0.0706,0.1334,UDP
10.0.0.179,0.0751,0.3565,0.1068,4,0,0.0072,0.1114,UDP-Lag
10.0.0.180,0.1979,0.2006,0.0552,3,0,0.1312,0.1333,WebDDoS
10.0.0.181,0.1794,0.3382,0.1641,4,1,0.1447,0.0502,DNS
10.0.0.182,0.0687,0.3645,0.0649,6,0,0.1240,0.1354,LDAP
10.0.0.183,0.1917,0.1017,0.1133,6,0,0.0054,0.0867,MSSQL
10.0.0.184,0.1795,0.3393,0.1802,4,0,0.1702,0.1136,NetBIOS
10.0.0.185,0.1945,0.3286,0.1165,4,0,0.0748,0.0661,NTP
10.0.0.186,0.1973,0.2341,0.1596,5,0,0.1763,0.1496,SNMP
10.0.0.187,0.1536,0.3155,0.1442,4,0,0.0494,0.1341,SSDP
10.0.0.188,0.0859,0.3557,0.1051,4,0,0.1521,0.0931,UDP
10.0.0.189,0.0552,0.3104,0.0617,3,0,0.1730,0.1434,UDP-Lag
10.0.0.190,0.1112,0.3277,0.0783,4,0,0.0803,0.1409,WebDDoS
10.0.0.191,0.0581,0.2159,0.1106,5,0,0.0806,0.0594,DNS
10.0.0.192,0.1271,0.1860,0.1365,4,0,0.1351,0.1288,LDAP
10.0.0.193,0.1422,0.2381,0.0777,4,0,0.0405,0.0824,MSSQL
10.0.0.194,0.0827,0.1012,0.0579,4,0,0.1303,0.1392,NetBIOS
10.0.0.195,0.1387,0.2947,0.1497,6,1,0.0586,0.1459,NTP
10.0.0.196,0.0674,0.3942,0.1975,4,0,0.1786,0.1031,SNMP
10.0.0.197,0.1552,0.1334,0.1271,5,0,0.0725,0.1322,SSDP
10.0.0.198,0.1771,0.1618,0.0530,5,1,0.1498,0.1214,UDP
10.0.0.199,0.1607,0.1113,0.1134,6,0,0.0553,0.0637,UDP-Lag
10.0.0.200,0.1685,0.2935,0.1175,4,0,0.0538,0.1040,WebDDoS
10.0.0.201,0.1848,0.1277,0.1944,6,1,0.1715,0.0918,DNS
10.0.0.202,0.0693,0.3648,0.1119,4,0,0.0561,0.0747,LDAP
10.0.0.203,0.1670,0.1878,0.1865,5,0,0.0827,0.0948,MSSQL
10.0.0.204,0.1571,0.2165,0.1969,5,0,0.0763,0.1082,NetBIOS
10.0.0.205,0.1740,0.2615,0.1030,6,0,0.1597,0.1206,NTP
10.0.0.206,0.0828,0.2080,0.1940,6,0,0.0952,0.1264,SNMP
10.0.0.207,0.1063,0.3770,0.1322,4,0,0.0381,0.0797,SSDP
10.0.0.208,0.0707,0.1512,0.1404,4,0,0.1405,0.1481,UDP
10.0.0.209,0.1662,0.1980,0.1316,6,0,0.0733,0.1476,UDP-Lag
10.0.0.210,0.1405,0.3317,0.1487,5,1,0.1361,0.1399,WebDDoS
10.0.0.211,0.1880,0.3122,0.0958,3,0,0.1199,0.0976,DNS
10.0.0.212,0.1949,0.2544,0.1176,5,0,0.0670,0.1179,LDAP
10.0.0.213,0.0888,0.3480,0.1327,6,0,0.1830,0.1217,MSSQL
10.0.0.214,0.0731,0.1577,0.1231,3,1,0.0239,0.0944,NetBIOS
10.0.0.215,0.1553,0.1946,0.0675,3,0,0.1655,0.1244,NTP
10.0.0.216,0.1431,0.2597,0.0600,3,0,0.1637,0.1084,SNMP
10.0.0.217,0.1776,0.2984,0.1138,3,0,0.0962,0.1388,SSDP
10.0.0.218,0.1240,0.2506,0.1347,6,0,0.0007,0.1483,UDP
10.0.0.219,0.0851,0.2652,0.0717,4,0,0.0029,0.1366,UDP-Lag
10.0.0.220,0.1397,0.3350,0.0689,6,0,0.1793,0.0958,WebDDoS
10.0.0.221,0.1139,0.2890,0.1150,5,0,0.0352,0.1361,DNS
10.0.0.222,0.1001,0.3639,0.0838,6,1,0.0215,0.1209,LDAP
10.0.0.223,0.1080,0.3537,0.1191,3,0,0.0880,0.1236,MSSQL
10.0.0.224,0.1917,0.2877,0.0763,6,1,0.0738,0.1402,NetBIOS
10.0.0.225,0.1333,0.1786,0.1795,3,0,0.1487,0.0505,NTP
10.0.0.226,0.1098,0.3674,0.1891,6,0,0.0287,0.1297,SNMP
10.0.0.227,0.1252,0.1376,0.1979,4,0,0.0030,0.1118,SSDP
10.0.0.228,0.1064,0.1074,0.1441,4,0,0.1515,0.0583,UDP
10.0.0.229,0.1025,0.1008,0.1676,5,0,0.0145,0.1338,UDP-Lag
10.0.0.230,0.0897,0.3705,0.0692,4,0,0.0128,0.1029,WebDDoS
10.0.0.231,0.1956,0.3561,0.1846,4,0,0.1395,0.1434,DNS
10.0.0.232,0.0808,0.3853,0.1542,3,0,0.1680,0.1458,LDAP
10.0.0.233,0.1779,0.2483,0.0705,4,0,0.1482,0.0889,MSSQL
10.0.0.234,0.1220,0.2329,0.0807,3,0,0.1373,0.1491,NetBIOS
10.0.0.235,0.1865,0.3943,0.1078,6,0,0.0907,0.0914,NTP
10.0.0.236,0.0647,0.1325,0.1052,3,0,0.1843,0.1444,SNMP
10.0.0.237,0.1543,0.3446,0.1010,6,0,0.1074,0.0878,SSDP
10.0.0.238,0.1793,0.3264,0.0600,3,1,0.1891,0.0939,UDP
10.0.0.239,0.0871,0.3799,0.0742,6,0,0.0010,0.1460,UDP-Lag
10.0.0.240,0.1881,0.2497,0.1420,3,0,0.1559,0.0667,WebDDoS
10.0.0.241,0.1811,0.3508,0.1532,4,0,0.0949,0.0766,DNS
10.0.0.242,0.1271,0.2103,0.1108,6,0,0.0827,0.0923,LDAP
10.0.0.243,0.1748,0.1731,0.1602,5,0,0.1139,0.0981,MSSQL
10.0.0.244,0.1328,0.1656,0.0699,3,0,0.1974,0.1071,NetBIOS
10.0.0.245,0.1072,0.3410,0.1748,4,0,0.0347,0.1289,NTP
10.0.0.246,0.0673,0.3301,0.0725,6,0,0.1428,0.1021,SNMP
10.0.0.247,0.0844,0.3084,0.1835,3,0,0.0395,0.1139,SSDP
10.0.0.248,0.0767,0.1537,0.1084,4,0,0.1717,0.1291,UDP
10.0.0.249,0.0945,0.1476,0.1824,3,0,0.1555,0.0969,UDP-Lag
10.0.0.250,0.1260,0.3058,0.0521,5,0,0.1242,0.1046,WebDDoS
10.0.0.251,0.1453,0.3378,0.0534,5,1,0.0876,0.1155,DNS
10.0.0.252,0.0644,0.2258,0.0917,5,0,0.1715,0.0986,LDAP
10.0.0.253,0.1539,0.2215,0.1328,4,0,0.1007,0.0802,MSSQL
10.0.0.254,0.1504,0.3534,0.0879,3,0,0.1279,0.0816,NetBIOS
10.0.0.255,0.0651,0.2415,0.0525,6,0,0.1022,0.0784,NTP
10.0.0.256,0.0784,0.3398,0.1571,4,0,0.0181,0.1223,SNMP
10.0.0.257,0.1768,0.3595,0.1306,6,1,0.1079,0.1145,SSDP
10.0.0.258,0.0706,0.1828,0.0586,3,0,0.1639,0.0713,UDP
10.0.0.259,0.0722,0.2519,0.1896,3,0,0.0089,0.1319,UDP-Lag
10.0.0.260,0.1497,0.3530,0.0706,4,0,0.1262,0.0951,WebDDoS
10.0.0.261,0.1329,0.3654,0.1744,4,0,0.1142,0.0645,DNS
10.0.0.262,0.0880,0.2872,0.0882,3,1,0.1727,0.0510,LDAP
10.0.0.263,0.0816,0.3214,0.0749,6,0,0.0962,0.1398,MSSQL
10.0.0.264,0.1974,0.2493,0.1856,5,1,0.0861,0.1057,NetBIOS
10.0.0.265,0.1295,0.3441,0.0716,5,0,0.1936,0.1082,NTP
10.0.0.266,0.1107,0.3716,0.1472,5,0,0.0245,0.1416,SNMP
10.0.0.267,0.1364,0.2500,0.0938,6,0,0.0029,0.1330,SSDP
10.0.0.268,0.1446,0.1729,0.1538,6,0,0.0819,0.0691,UDP
10.0.0.269,0.1625,0.2396,0.1145,4,0,0.0658,0.1487,UDP-Lag
10.0.0.270,0.0672,0.1612,0.1448,3,0,0.0821,0.1325,WebDDoS
10.0.0.271,0.1217,0.1774,0.1989,3,0,0.1888,0.0807,DNS
10.0.0.272,0.0533,0.1788,0.1884,4,0,0.0884,0.1191,LDAP
10.0.0.273,0.1854,0.3650,0.0560,4,0,0.0439,0.0926,MSSQL
10.0.0.274,0.1912,0.2997,0.1601,4,0,0.1790,0.1299,NetBIOS
10.0.0.275,0.0848,0.3682,0.1032,4,0,0.1261,0.1053,NTP
10.0.0.276,0.1286,0.1883,0.1721,5,0,0.0007,0.0744,SNMP
10.0.0.277,0.0533,0.3838,0.1906,6,0,0.0212,0.0964,SSDP
10.0.0.278,0.1186,0.3702,0.1946,4,0,0.1899,0.1075,UDP
10.0.0.279,0.1677,0.3137,0.1976,5,0,0.1328,0.1494,UDP-Lag
10.0.0.280,0.1358,0.3049,0.0914,5,1,0.1411,0.1376,WebDDoS
10.0.0.281,0.0751,0.3801,0.1320,3,0,0.1786,0.0751,DNS
10.0.0.282,0.1414,0.3103,0.0669,3,1,0.1321,0.1139,LDAP
10.0.0.283,0.1693,0.3270,0.1490,3,0,0.0220,0.0920,MSSQL
10.0.0.284,0.1118,0.3320,0.1760,4,0,0.1197,0.0853,NetBIOS
10.0.0.285,0.0511,0.3245,0.1385,5,0,0.1882,0.0651,NTP
10.0.0.286,0.0669,0.1901,0.1883,3,0,0.0292,0.1133,SNMP
10.0.0.287,0.1918,0.3445,0.1163,3,0,0.0891,0.1102,SSDP
10.0.0.288,0.0508,0.2657,0.0917,6,0,0.1541,0.0862,UDP
10.0.0.289,0.0926,0.3646,0.1399,5,0,0.1973,0.0999,UDP-Lag
10.0.0.290,0.0549,0.2502,0.1631,4,0,0.0193,0.0631,WebDDoS
10.0.0.291,0.1150,0.3394,0.0799,4,0,0.1654,0.1405,DNS
10.0.0.292,0.0709,0.3513,0.0644,4,0,0.0424,0.1435,LDAP
10.0.0.293,0.1462,0.2551,0.1362,3,0,0.1237,0.0511,MSSQL
10.0.0.294,0.1215,0.3258,0.1710,6,1,0.1251,0.0791,NetBIOS
10.0.0.295,0.1799,0.1670,0.0527,5,0,0.1222,0.1213,NTP
10.0.0.296,0.1016,0.1984,0.1698,6,0,0.0507,0.0517,SNMP
10.0.0.297,0.1005,0.2045,0.1095,5,0,0.1321,0.0567,SSDP
10.0.0.298,0.1594,0.1942,0.1342,6,0,0.1080,0.0890,UDP
10.0.0.299,0.1181,0.1028,0.1118,3,1,0.0970,0.0530,UDP-Lag
10.0.0.300,0.0921,0.1291,0.0646,6,0,0.0152,0.0625,WebDDoS
